Clave,,,Descripción,,,,,Precio U.,Exis,Total 
7.50201E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAMOXIN 12 H ) TABS 875 MG /125 MG C/14,,,,,$59.77,0,$0.00
7.50201E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAMOXÍN 12H JUNIOR ) SUSPENSIÓN 400MG/57MG/5ML C/50ML,,,,,$37.26,0,$0.00
7.50201E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAMOXIN 250 )  SUSPENSION 250MG/62.5MG/5ML C/60ML,,,,,$28.74,0,$0.00
7.50221E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAVIPEN ) SUSPENSION ,,,,,$27.53,0,$0.00
,,,250MG-5ML C/60ML,,,,,,,
7.50221E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAVIPEN ) TABLETAS 500MG/125MG C/15,,,,,$51.48,0,$0.00
7.80083E+11,,,AMOXICILINA / ACIDO CLAVULANICO ( GIMACLAV ) SUSPENSION 250MG C/60ML,,,,,$20.25,0,$0.00
7.80083E+11,,,AMOXICILINA / ACIDO CLAVULANICO ( GIMACLAV ) TAB 875 MG / 125 MG C/10,,,,,$43.82,0,$0.00
7.503E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( VALCLAN ) SUSPENSIÓN 250MG -62.5MG / 5ML C/60ML,,,,,$41.97,0,$0.00
7.503E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( VALCLAN ) SUSPENSIÓN 400MG -57MG / 5ML C/60ML,,,,,$38.71,0,$0.00
7.503E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( VALCLAN ) TAB 500MG / 125 MG C/16,,,,,$39.33,0,$0.00
7.503E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( VALCLAN ) TABLETA 500MG / 125MG C/10,,,,,$34.61,0,$0.00
7.50201E+12,,,AMOXICILINA / ACIDO CLAVULANICO (CLAMOXIN 12 H )TABELTAS 875 MG -125 MG,,,,,$54.65,36,"$1,967.40"
7.503E+12,,,AMOXICILINA / ACIDO CLAVULANICO 875 MG / 125 MG ( VALCLAN ) C / 10 TABLETAS,,,,,$46.97,0,$0.00
7.50201E+12,,,AMOXICILINA / ACIDOCLAVULANICO ( CLAMOXIN ) SUSPENSION INF 125 MG - 31.25 MG/ 5 ML C/60ML,,,,,$21.24,0,$0.00
7.503E+12,,,AMOXICILINA / AMBROXOL ( VANMOXOL ) SUSPENSION 250 MG / 15 MG / 5 ML C / 90 ML,,,,,$15.28,0,$0.00
7.50135E+12,,,AMOXICILINA /ACIDO CLAVULANICO 200 MG / 28.57 MG / 5 ML SUSP (AMSA),,,,,$23.59,0,$0.00
7.50223E+12,,,AMOXICILINA 500MG (MOXPHARMA) C/12 CAP,,,,,$22.79,0,$0.00
7.50221E+12,,,AMOXICILINA/ACIDO CLAVULANICO  ( CLAVIPEN 12 H ) TAB 125 MG / 875 C/10,,,,,$50.00,0,$0.00
7.80083E+11,,,AMPICILINA / METAMIZOL / GUAIFENESINA / LIDOCAINA / CLORFENAMINA ( AMPIGRIN ) INFANTIL  SOL. INY. 250MG C/3,,,,,$64.12,8,$512.96
7.80083E+11,,,AMPICILINA / METAMIZOL / GUAIFENESINA / LIDOCAINA / CLORFENAMINA ( AMPIGRIN )ADULTO  SOL. INY. 500MG C/3,,,,,$70.59,0,$0.00
7.502E+12,,,AMPICILINA / METAMIZOL / GUAIFENESINA / LIDOCAINA /CLORFENAMINA ( LAUR ) INYECTABLE 500 MG / 500 MG / 100 MG / 30 MG / 4 MG,,,,,$56.32,0,$0.00
L020,,,ANDROSTENEDIONA,,,,,$240.00,0,$0.00
6682492,,,ANTICOAGULANTE LUPICO,,,,,$600.00,0,$0.00
1579,,,ANTICUERPO ANTI NUCLEARES,,,,,$350.00,0,$0.00
64,,,ANTICUERPOS ANTI TIROGLOBULINA,,,,,$410.00,0,$0.00
31,,,Anticuerpos anti-citomegalovirus IgG,,,,,$330.00,0,$0.00
L0011,,,ANTICUERPOS ANTI-HELICOBACTER PYLORI IGG,,,,,$420.00,0,$0.00
L073,,,Anticuerpos Anti-Helicobacter Pylori IgM,,,,,$420.00,0,$0.00
L0012,,,ANTICUERPOS ANTI-HEPATITIS C,,,,,$350.00,0,$0.00
42,,,Anticuerpos anti-hepatitis C Totales,,,,,$360.00,0,$0.00
LO74,,,ANTICUERPOS ANTI-HETEROFILOS (PAUL BUNNELL),,,,,$300.00,0,$0.00
52,,,ANTICUERPOS ANTI-MITOCONDRIALES,,,,,$415.00,0,$0.00
53,,,ANTICUERPOS ANTI-MUSCULO LISO,,,,,$370.00,0,$0.00
SINSIN63036,,,ANTICUERPOS ANTI-PEROXIDASA TIROIDEA,,,,,$450.00,0,$0.00
L062,,,ANTICUERPOS ANTI-SSA Ro IgG,,,,,$400.00,0,$0.00
L063,,,ANTICUERPOS ANTI-SSB LA IgG,,,,,$365.00,0,$0.00
SERVICIO 56,,,ANTIDOPING 3 ELEMENTOS PARA EMPRESA,,,,,$166.00,0,$0.00
ANTI5EMP,,,ANTIDOPING 5 ELEMENTOS EMPRESA,,,,,$200.00,0,$0.00
1006,,,ANTIDOPING III SANTA CRUZ (COC TCH ANF),,,,,$31.03,25,$775.75
668262,,,"ANTIDOPING V ( AMP, COC, MET, OPI, THC )",,,,,$49.30,85,"$4,190.50"
77,,,ANTIESTREPTOLISINAS (ASO o ASLO),,,,,$60.00,0,$0.00
85121800-78,,,ANTIGENO AUSTRALIA HEP B (HBS AG),,,,,$350.00,0,$0.00
668266,,,ANTIGENO CA 19-9 (PANCREATICO),,,,,$320.00,0,$0.00
100,,,ANTIGENO CA 72-4 (gastrointestinal),,,,,$610.00,0,$0.00
668264,,,ANTIGENO CA-125 (OVARICO),,,,,$360.00,0,$0.00
79,,,ANTIGENO CARCINOEMBRIONARIO (C.E.A.),,,,,$230.00,0,$0.00
95264,,,Antígeno HE4 (Proteína del Epidídimo Humano),,,,,$600.00,0,$0.00
80,,,ANTIGENO HELICOBACTER PYLORI EN HECES,,,,,$50.00,0,$0.00
78,,,Antígeno Hepatitis B de Superficie,,,,,$350.00,0,$0.00
82,,,ANTIGENO PROSTATICO ESPECIFICO (PSA) CUANTITATIVO,,,,,$215.00,0,$0.00
